Question,Answer,target
What are some of the top tourist spots in Mumbai that are worth visiting?,"Mumbai has several top popular tourist attractions worth visiting, such as the Gateway of India, Marine Drive, Elephanta Caves, Juhu Beach, Chhatrapati Shivaji Terminus, Haji Ali Dargah and Siddhivinayak Temple.",0
Which beaches are famous among tourists visiting Maharashtra?,"popular beaches in Maharashtra are Juhu Beach, Alibaug Beach, and Kashid Beach, Ganapatipule Beach, Tarkarli Beach, and Dahanu-Bordi Beach.",1
Can you recommend some of the well-known beaches in Maharashtra?,"popular beaches in Maharashtra are Juhu Beach, Alibaug Beach, and Kashid Beach, Ganapatipule Beach, Tarkarli Beach, and Dahanu-Bordi Beach.",1
Are there any highly-rated beaches in Maharashtra that are worth visiting?,"popular beaches in Maharashtra are Juhu Beach, Alibaug Beach, and Kashid Beach, Ganapatipule Beach, Tarkarli Beach, and Dahanu-Bordi Beach.",1
What are some of the most popular beaches to visit in Maharashtra?,"popular beaches in Maharashtra are Juhu Beach, Alibaug Beach, and Kashid Beach, Ganapatipule Beach, Tarkarli Beach, and Dahanu-Bordi Beach.",1
What are the popular beaches in Maharashtra?,"popular beaches in Maharashtra are Juhu Beach, Alibaug Beach, and Kashid Beach, Ganapatipule Beach, Tarkarli Beach, and Dahanu-Bordi Beach.",1
 Which fort near Pune is considered to be popular among tourists?,Sinhgad fort near pune is considered popular among tourist,6
Which fort in the Pune region is notable and worth visiting?,The fort worth visiting in pune region is sinhgad fort.,7
What is the famous fort near Pune?,The famous fort near Pune is Sinhagad Fort.,8
What is the distance between Mumbai and Mahabaleshwar?,The distance between Mumbai and Mahabaleshware is approximately 260 km.,9
How one can reach mahabaleshware from Mumbai?,"You can reach mahabaleshwar from mumbai by road. Alternatively, one can also take a train from Mumbai to Satara or Pune and then continue the journey by taxi or bus to Mahabaleshwar",10
Are there any highly-rated waterfalls in Maharashtra that are worth visiting?,"Some of the highly-rated waterfalls in Maharashtra are Dudhsagar Falls, Thoseghar Falls, and Bhivpuri Falls.",11
Can you recommend some of the well-known waterfalls in Maharashtra?,"Some of the well-known waterfalls in Maharashtra are Dudhsagar Falls, Thoseghar Falls, and Bhivpuri Falls.",12
What is the best way to reach Mahabaleshwar from Mumbai?,The best way to reach Mahabaleshwar from Mumbai is by road.,13
What are some of the most popular waterfalls in Maharahtra?,"Some of the popular waterfalls in Maharashtra are Dudhsagar Falls, Thoseghar Falls, and Bhivpuri Falls.",14
What are the famous waterfalls in Maharashtra?,"Some of the famous waterfalls in Maharashtra are Dudhsagar Falls, Thoseghar Falls, and Bhivpuri Falls.",15
 What is the height from the sea level of the Rajmachi Fort?,The height of the Rajmachi Fort from sea level is 2710 feet.,16
How tall is the Rajmachi Fort?,Rajmachi Fort is 2710 feet tall.,17
What is the height of the Rajmachi Fort?,The height of the Rajmachi Fort is 2710 feet.,18
What is the best time to visit Ajanta and Ellora Caves?,The best time to visit Ajanta and Ellora Caves is between November and March.,19
What is the famous temple in Shirdi?,The famous temple in Shirdi is the Sai Baba Temple.,20
What are the adventure activities in Lonavala?,"Some of the adventure activities in Lonavala are trekking, camping, and rock climbing.",21
What is the best time to visit Tarkarli Beach?,The best time to visit Tarkarli Beach is between October and March.,22
What is the famous hill station near Mumbai?,The famous hill station near Mumbai is Matheran.,23
What is the distance between Mumbai and Pune?,The distance between Mumbai and Pune is approximately 150 km.,24
What is the famous festival in Maharashtra?,The famous festival in Maharashtra is Ganesh Chaturthi.,25
What is the entry fee for Elephanta Caves?,The entry fee for Elephanta Caves is Rs. 40 for Indian citizens and Rs. 600 for foreigners.,26
 What are some of the well-known food items that one can find in Kolhapur?,Some of the well know food in Kolhapur includes Misal Pav and tambada and pandhra rassa.,27
Which cuisine is Kolhapur famous for?,Cuisine famous in  Kolhapur includes Misal Pav and tambada and pandhra rassa.,28
What is the specialty dish of Kolhapur?,Specialty dish of Kolhapur includes Misal Pav and tambada and pandhra rassa.,29
What is the famous food in Kolhapur?,The famous food in Kolhapur is Misal Pav.,30
What is the best time to visit Matheran?,The best time to visit Matheran is between October and May.,31
When is the ideal time to visit Lonavala?,The ideal time to visit Lonavala is between November and May.,32
What season is best to go to Lonavala?,The best season to go to Lonavala is between November and May.,33
What time of the year is good for visiting Lonavala?,The best time to visit Lonavala is between November and May.,34
When is the ideal time to visit Khandala?,The ideal time to visit Khandala is between September and May.,35
What season is best to go to Khandala?,The best season to go to Khandala is between September and May.,36
What time of the year is good for visiting Khandala?,The best time to visit Khandala is between September and May.,37
When is the ideal time to visit Pune?,the ideal time to visit Pune is during the winter months from October to March.,38
What season is best to go to Pune?, the best season to visit Pune is during the winter months from October to March.,39
What time of the year is good for visiting Pune?,the best time to visit Pune is during the winter months from October to March.,40
What season is best to go to Matheran?, the best season to visit Matheran is during the winter months from October to March.,41
What time of the year is good for visiting Matheran?,the best time to visit Matheran is during the winter months from October to March.,42
When is the ideal time to visit Nagpur?,the ideal time to visit Nagpur is during the winter months from December to March.,43
What season is best to go to Nagpur?, the best season to go to Nagpur is during the winter months from December to March.,44
What time of the year is good for visiting Nagpur?,the good time to visit Nagpur is during the winter months from December to March.,45
